NCT Number,Study Title,Brief Summary,Conditions
NCT04417127,Harambee: Integrated Community-based HIV/NCD Care & Microfinance Groups in Kenya,"The objective of this project is to demonstrate the effectiveness and longer-term sustainability of a differentiated care delivery model for improving HIV treatment outcomes. The central hypothesis is that the integration of community-based HIV and NCD care with group microfinance will improve retention in care and rates of viral suppression (VS) among people living with HIV (PLHIV) in Kenya via two mechanisms: improved household economic status and easier access to care.The specific aims are as follows:1. To evaluate the extent to which integrated community-based HIV care with group microfinance affects retention in care and VS among n=900 PLHIV in rural western Kenya using a cluster randomized intervention design of n=40 existing (fully HIV+) microfinance groups to receive either: (A) integrated community-based HIV and NCD care or (B) standard care. Data from the two trial arms will be augmented with a matched contemporaneous control group of n=300 patients receiving standard care and not involved in microfinance (group C), comparing outcomes in groups A, B and C. The hypothesize is that A \> B \> C in terms of viral suppression and retention in care.2. To identify specific mechanisms through which microfinance and integrated community-based care impact VS. Using a mixed methods approach, the study will characterize the mechanisms of effect on patient outcomes. Investigators will conduct quantitative mediation analysis to examine two main mediating pathways (household economic conditions and easier access to care), as well as exploratory mechanisms (food security, social support, HIV- related stigma). Investigators will also use qualitative methods and multi-stakeholder panels to contextualize implementation of the intervention.3. To assess the cost-effectiveness of microfinance and integrated community-based care delivery to maximize future policy and practice relevance of this promising intervention strategy. The working hypothesis is that the differentiated model will be cost-effective in terms of cost per HIV suppressed person-time, cost per patient retained in care, and cost per disability-adjusted life year saved.The main expected outcomes will be rigorous evidence of effectiveness, mechanisms and cost-effectiveness of a differentiated model for achieving the last key step in the HIV care continuum. These results are expected to have an important positive impact in terms of improved, high-quality services that address known individual and structural barriers to care and promote long-term sustainability of care for PLHIV in rural settings with high HIV prevalence.",HIV/AIDS|Noncommunicable Diseases|Hypertension|Diabetes
NCT04794127,Study on Trabectedin in Combination With Pioglitazone in Patients Myxoid Liposarcomas With Stable Disease After T Alone.,"This is a phase 2 study conducted in two sequential stages:The first stage is an Italian single institution, single arm, pilot study, aimed at exploring the activity of the combination T and P in myxoid liposarcoma patients who achieved a stable disease after a minimum of 4 cycles of T alone. If a minimum required activity will be demonstrated from the first stage, the second stage of the study will be conducted;otherwise, the study will be stopped. The second stage is an Italian open-label, multicenter, randomized, double arm, phase II trial, aimed at evaluating the combination of T and P in myxoid liposarcoma and G1 or G2 dedifferentiated liposarcomas compared to the standard treatment with T alone. Patients will be randomized with a 1:1 ratio to treatments arms as specified below:* Control arm (A): T alone* Experimental arm (B): T in combination with P","Liposarcoma, Myxoid|Liposarcoma, Dedifferentiated|Liposarcoma, Round Cell"
NCT00947427,Canakinumab Study in Individuals With Newly Diagnosed Type 1 Diabetes,"Canakinumab is a fully human anti-interleukin-1β (anti-IL-1β) monoclonal antibody (IgG-1 class). Canakinumab is designed to bind to human IL-1β and to functionally neutralize the bioactivity of this pro-inflammatory cytokine.The study is a two-arm, multicenter, randomized, double-masked, placebo-controlled clinical trial. 66 subjects will be randomly assigned to receive either monthly subcutaneous injections of 2.0 mg/kg Canakinumab, or placebo for 12 months. All groups will receive standard intensive diabetes treatment with insulin and dietary management.Participants randomly assigned to Canakinumab treatment or placebo will receive a total of 12 injections over one year.All subjects will be followed for 1 year of treatment plus 1- 3 years of additional follow-up until study end. Enrollment is expected to occur over two years.",Type 1 Diabetes|Preservation of Insulin Secretion|Newly Diagnosed Type 1 Diabetes|Canakinumab in Type 1 Diabetes
NCT03383627,Assessment of Glycemic Control in Patients With Type 2 Diabetes Mellitus and Late Stage Chronic Kidney Disease,"Diabetes control is often assessed by tests of glucose levels over time, such as the glycosylated hemoglobin A1c (HbA1c) and fructosamine. In the later stages of chronic kidney disease (CKD) there is limited data available on the utility of these tests. There are reasons to believe that the tests may be less accurate in this population. Continuous glucose monitoring (CGM) offers an effective method for understanding the totality of glucose exposure and incidence of both hyperglycemic and hypoglycemic excursions.",Diabetes|Kidney Diseases
NCT00123227,Rosiglitazone Plaque Study,"The purpose of this study is to determine whether rosiglitazone, a peroxisome proliferator activated receptor gamma (PPAR-gamma) agonist, induces regression in carotid atherosclerotic plaques in diabetic patients with vascular disease and/or hypertension over a 12 month period.","Diabetes Mellitus, Type 2|Vascular Diseases|Hypertension"
NCT02614027,Prevalence of Lipodystrophy Syndrome and Its Role as Cause of Metabolic Disturbances,"To evaluate the prevalence of lipodystrophy syndrome in patients receiving currently available antiretroviral drugs, and the prevalence of associated metabolic syndrome in HIV-infected patients with a previous diagnosis of lipodystrophy syndrome, according to the severity of fat accumulation and antiretroviral drug use.",Lipodystrophy|Metabolic Syndrome
NCT05143827,Glycemic Index of Pasta From Traditional and Current Wheat Varieties,"This randomized, cross-over study compares pasta produced with three different wheat varieties (Senatore Cappelli, Korasan, Claudio). Patients with type 2 diabetes with no pharmacological treatment will be randomized to three different sequences, and asked to eat a standard portion of pasta on three different occasions, four days apart. 3-hour post-prandial interstitial glucose profiles will be recorded using trans-cutaneous sensors.",Diabetes Type 2
NCT01462227,Effect of Naltrexone on Counterregulatory Mechanisms in Hypoglycemia,"Insulin treatment often causes the blood glucose levels to fall too low. The body usually responds to low blood glucose levels by releasing hormones which act against the insulin to help correct the low blood glucose levels. However, this hormone response can be altered in people with diabetes. Currently there are no therapeutic agents that can be used to improve the recovery from hypoglycemia (low blood sugar). Naltrexone is a tablet used to help people who are addicted to alcohol or morphine-based drugs to remain drug and alcohol-free but it can also affect the levels of the hormones which are released during hypoglycemia. The aim of this study is to determine whether naltrexone can be used to improve and accelerate the recovery from hypoglycemia in patients with type 1 diabetes.",Hypoglycemia
NCT01800227,Bioequivalence Study of Torrent Pharmaceuticals Ltd's Pioglitazone Hydrochloride and Metformin Hydrochloride Tablets Under Fasting Conditions,"Objective:subjects to compare the single dose bioavailability of Torrent's Pioglitazone Hydrochloride and Metformin Hydrochloride Tablets 15 mg/850 mg and Actoplus Met® (pioglitazone hydrochloride and metformin hydrochloride) Tablets 15 mg/850 mg of Takeda Pharmaceuticals America, Inc. USA. Dosing periods of studies were separated by a washout period of 14 days.Study Design:Randomized, Two-Way Crossover, Single-Dose, and Open-Label",Healthy
NCT01788527,Continuous Glucose Monitoring in Women With Type 1 Diabetes in Pregnancy Trial,The primary objective of the study is to determine if RT CGM (Real Time-Continuous Glucose Monitoring) can improve glycemic control in women with T1D who are pregnant or planning pregnancy.,Type 1 Diabetics Who Are Pregnant or Planning Pregnancy
