NCT Number,Study Title,Brief Summary,Conditions
NCT00280865,"GLAD: Dose-Finding, Efficacy, and Safety of AZ 242 (Tesaglitazar) in Subjects With Type 2 Diabetes","This is a 12-week randomized, double-blind, multi-center, active-controlled (open-label pioglitazone) and placebo-controlled study of tesaglitazar (0.1, 0.5, 1, 2, and 3 mg) in patients with type 2 diabetes, not adequately controlled on diet and lifestyle advice alone during the run-in period. The study comprises a 2-week enrollment period, 4 week placebo single blind run in period followed by a 12-week double blind treatment period and a 3-week follow-up period",Type 2 Diabetes
NCT00660374,Safety and Efficacy of Insulin NPH Compared to a New Insulin Formulation in Subjects With Type 2 Diabetes,This trial is conducted in South America. This trial aims for a comparison of the safety and efficacy of insulin NPH and a new insulin formulation on blood glucose control.,"Diabetes|Diabetes Mellitus, Type 2"
NCT02958865,"Study to Compare Oral PF-06651600, PF-06700841 and Placebo in Subjects With Moderate to Severe Ulcerative Colitis",The purpose of this study is to determine whether PF-06651600 and PF-06700841 are effective in treatment of moderate to severe ulcerative colitis.,Ulcerative Colitis
NCT03222765,Prevention of Microvascular Complications in Prediabetes e-PREDICE Study,"Background: A significant proportion of pre-diabetics, show macro and micro vascular complications associated with hyperglycaemia. Although many trials have demonstrated the efficacy of lifestyle and pharmaceutical interventions in diabetes prevention, no trial has evaluated the extent to which mid- and long-term complications can be prevented by early interventions on hyperglycaemia.Aims: To assess the long-term effects on multiple complications of hyperglycaemia of early intensive management of hyperglycaemia with linagliptin, metformin or their combination added to lifestyle intervention (LSI) (diet and physical activity), compared with LSI alone in adults with non-diabetic intermediate hyperglycaemia (IFG, IGT or both).Study Design: Investigator initiated (non-commercial), long-term, multi-centre, randomised, partially double blinded, placebo controlled, phase-IIIb clinical trial with prospective blinded outcome evaluation. Participants will be randomised to four parallel arms: 1) LSI + 2 placebo tablets/day; 2) LSI + 2 Metformin tablets of 850 mg/day; 3) LSI + 1 Linagliptin tablets of 5 mg/day and 1 placebo; 4) LSI + 2 tablets of a fixed-dose combination of Linagliptin 2.5mg and Metformin 850 /day. Active intervention will last for at least 2 years.Setting and population: Males and Females with pre-diabetes (IFG, IGT or both) aged 45 to 74 years selected from primary care screening programs in 14 clinical centres from 10 countries: Australia, Austria, Bulgaria, Greece, Italy, Kuwait, Poland, Serbia, Spain and Turkey and . (N=1000)Main Outcomes: The primary endpoint is a combined continous variable: ""the microvascular complication índex"" (MCI) composed by a linear combination of the Early Treatment Diabetic Retinopathy Study Scale (ETDRS) score (based on retinograms), the level of urinary albumin to creatinine ratio, and a measure of distal small fibre neuropathy (sudomotor test by SUDOSCAN), measured during baseline visit and at 24th and 48th month visits after randomisation. In addition, serological biomarkers of inflammation, vascular damage, non-alcoholic fatty liver disease, insulin secretion, measures of quality of life, sleep quality, neuropsychological evaluation and endothelial function will be also evaluated in a subset of participants.",PreDiabetes
NCT02008565,Controlling Anal Incontinence by Performing Anal Exercises With Biofeedback or Loperamide (CAPABLe),"The study is a multi-center, randomized, placebo controlled trial with participants randomized into one of four groups:1. placebo/usual care (educational pamphlet)2. loperamide/usual care (educational pamphlet)3. placebo/anal exercises with biofeedback4. loperamide/anal exercises with biofeedbackThe primary outcome, change from baseline in St. Marks (Vaizey) Score at 24 weeks, will be compared between treatment groups using linear regression.",Fecal Incontinence
NCT03495765,To Evaluate the Comparative Efficacy of Lucentis (Ranibizumab) 0.5mg Intravitreal Injection in Patients With Diabetic Macular Oedema (DME) With Well Controlled and Poorly Controlled Diabetes Mellitus,To demonstrate the comparative effectiveness of 12 months of Lucentis (ranibizumab) in patients with well controlled compared to those with poorly controlled diabetes using an PRN treatment schedule.,Diabetic Macular Oedema
NCT00065065,A Trial of Rosiglitazone for Ulcerative Colitis,"This is a multicenter, randomized, double-blind, placebo-controlled study evaluating rosiglitazone: 4 mg tablets or placebo tablets administered orally twice daily for 12 weeks. The purpose of the study is to evaluate the efficacy and safety of rosiglitazone in the treatment of mild to moderately active ulcerative colitis. Disease activity will be measured using a standard disease activity index. Calculation of the index requires patients to undergo flexible sigmoidoscopy at the start of the study and at week 12.",Ulcerative Colitis|Inflammatory Bowel Disease
NCT06483074,Empagliflozin on Residual Kidney Function in Incident Peritoneal Dialysis Patients,"Empagliflozin, a new class of diabetes medication, has demonstrated a reduction in renal function decline among patients with chronic kidney disease, regardless of their diabetes status. However, all previous studies excluded dialysis patients. Patients starting dialysis may still produce a certain amount of urine. Importantly, patients with better preserved residual kidney function tend to have better control of blood pressure and volume status, improved nutrition status, higher quality of life and reduced mortality rate.The purpose of this study is to learn about the safety of empagliflozin in patients on peritoneal dialysis, in preparation for a future large clinical trial. Participants who newly initiate peritoneal dialysis will be randomly allocated to either empagliflozin on top of standard of care, or standard of care alone. Over a follow-up period of six months, the investigators will collect information on urine volume, blood pressure and glucose control. Safety, tolerability and drug compliance of empagliflozin will also be evaluated. If empagliflozin is found to be safe and well tolerated in patients on peritoneal dialysis, further large-scale randomized controlled trial may be conducted to evaluate its impact on residual kidney function and other relevant clinical outcomes.",End Stage Renal Disease on Dialysis|Peritoneal Dialysis Complication|Sodium-glucose Cotransporter-2 Inhibitor|Residual Kidney Function
NCT05743465,"A Study to Evaluate Available Treatment Information of Ponatinib, Bosutinib, Imatinib, Dasatinib and Nilotinib in Adults With Chronic Myeloid Leukemia","The aims of this study are to learn out about treatment information (including amongst others treatment patterns, safety, development of a participant's condition) ponatinib, bosutinib, imatinib, dasatinib and nilotinib using already available data. No new data will be collected from participants as part of this study and no study medicines will be provided in this study.",Leukemia
NCT00473265,Bone Properties in Hypoparathyroidism: Effects of PTH,"Whereas much information is known about the properties of bone in primary hyperparathyroidism, a disorder of parathyroid hormone (PTH) excess, virtually nothing is known about the skeleton in hypoparathyroidism, a disorder in which PTH is absent. The purpose of this research project is to test the hypothesis that the skeleton in hypoparathyroidism is abnormal in its metabolic, densitometric, geometric, biomechanical and microarchitectural features. We will also test the hypothesis that the skeleton is dependent upon PTH for normal structure and function. Using non-invasive approaches as well as direct analysis of bone itself, the human hypoparathyroid skeleton will be thoroughly characterized. With each patient serving as his/her own control, we will determine how, to what extent, and in what ways the administration of PTH restores skeletal dynamics and structure to the hypoparathyroid skeleton. In this way, we will identify those structural and dynamic elements of the skeleton that are influenced by or dependent upon PTH. Methods to be utilized include dual energy X-ray absorptiometry, quantitative central and peripheral computed tomography, geometry and size quantification, histomorphometry by standard and microCT methods, finite element analysis, biochemical bone markers, quantitative back scattered electron imaging, and Fourier Transform Infrared Spectroscopy. This research project will extend our knowledge of the skeletal effects of PTH to its deficient range and thus complete our understanding of PTH action on bone gained by our many years of studying PTH overexpression in primary hyperparathyroidism. This investigation may also provide insight into the means by which PTH helps to restore the skeleton when it is used to treat osteoporosis.",Hypoparathyroidism
NCT03689374,"A Research Study to Compare Semaglutide to Insulin Aspart, When Taken Together With Metformin and Insulin Glargine, in People With Type 2 Diabetes",This study will compare the effect of semaglutide once weekly to insulin aspart 3 times daily as add on to metformin and insulin glargine in people with type 2 diabetes. Participants will either get insulin glargine and semaglutide or insulin glargine and insulin aspart - which treatment the participant get is decided by chance. Insulin glargine is taken once a day and semaglutide once a week. Insulin aspart is taken three times per day before a meal. All three medicines come in pre-filled pens for injection under the skin. The study will last for about 71 weeks. If participant's blood sugar gets under or over certain values participant will only participate in 14 weeks. The study doctor will inform the participant about this. The participant will have 15 clinic visits and 22 phone calls with the study doctor.,"Diabetes Mellitus, Type 2"
NCT00353574,DORADO-EX: Long-Term Safety Extension Study to the Phase 3 DORADO Study (Protocol DAR-311) of Darusentan in Resistant Hypertension,"This is a research study of a new experimental drug called darusentan. Darusentan is not currently approved by the United States (U.S.) Food and Drug Administration (FDA) for use in the U.S., which means that a doctor cannot prescribe this drug. The purpose of this study is to evaluate the long-term safety of darusentan in subjects with resistant systolic hypertension despite treatment with full doses of three or more antihypertensive medications, including a diuretic.",Hypertension
