NCT Number,Study Title,Brief Summary,Conditions
NCT04417127,Harambee: Integrated Community-based HIV/NCD Care & Microfinance Groups in Kenya,"The objective of this project is to demonstrate the effectiveness and longer-term sustainability of a differentiated care delivery model for improving HIV treatment outcomes. The central hypothesis is that the integration of community-based HIV and NCD care with group microfinance will improve retention in care and rates of viral suppression (VS) among people living with HIV (PLHIV) in Kenya via two mechanisms: improved household economic status and easier access to care.The specific aims are as follows:1. To evaluate the extent to which integrated community-based HIV care with group microfinance affects retention in care and VS among n=900 PLHIV in rural western Kenya using a cluster randomized intervention design of n=40 existing (fully HIV+) microfinance groups to receive either: (A) integrated community-based HIV and NCD care or (B) standard care. Data from the two trial arms will be augmented with a matched contemporaneous control group of n=300 patients receiving standard care and not involved in microfinance (group C), comparing outcomes in groups A, B and C. The hypothesize is that A \> B \> C in terms of viral suppression and retention in care.2. To identify specific mechanisms through which microfinance and integrated community-based care impact VS. Using a mixed methods approach, the study will characterize the mechanisms of effect on patient outcomes. Investigators will conduct quantitative mediation analysis to examine two main mediating pathways (household economic conditions and easier access to care), as well as exploratory mechanisms (food security, social support, HIV- related stigma). Investigators will also use qualitative methods and multi-stakeholder panels to contextualize implementation of the intervention.3. To assess the cost-effectiveness of microfinance and integrated community-based care delivery to maximize future policy and practice relevance of this promising intervention strategy. The working hypothesis is that the differentiated model will be cost-effective in terms of cost per HIV suppressed person-time, cost per patient retained in care, and cost per disability-adjusted life year saved.The main expected outcomes will be rigorous evidence of effectiveness, mechanisms and cost-effectiveness of a differentiated model for achieving the last key step in the HIV care continuum. These results are expected to have an important positive impact in terms of improved, high-quality services that address known individual and structural barriers to care and promote long-term sustainability of care for PLHIV in rural settings with high HIV prevalence.",HIV/AIDS|Noncommunicable Diseases|Hypertension|Diabetes
NCT00947427,Canakinumab Study in Individuals With Newly Diagnosed Type 1 Diabetes,"Canakinumab is a fully human anti-interleukin-1β (anti-IL-1β) monoclonal antibody (IgG-1 class). Canakinumab is designed to bind to human IL-1β and to functionally neutralize the bioactivity of this pro-inflammatory cytokine.The study is a two-arm, multicenter, randomized, double-masked, placebo-controlled clinical trial. 66 subjects will be randomly assigned to receive either monthly subcutaneous injections of 2.0 mg/kg Canakinumab, or placebo for 12 months. All groups will receive standard intensive diabetes treatment with insulin and dietary management.Participants randomly assigned to Canakinumab treatment or placebo will receive a total of 12 injections over one year.All subjects will be followed for 1 year of treatment plus 1- 3 years of additional follow-up until study end. Enrollment is expected to occur over two years.",Type 1 Diabetes|Preservation of Insulin Secretion|Newly Diagnosed Type 1 Diabetes|Canakinumab in Type 1 Diabetes
NCT02614027,Prevalence of Lipodystrophy Syndrome and Its Role as Cause of Metabolic Disturbances,"To evaluate the prevalence of lipodystrophy syndrome in patients receiving currently available antiretroviral drugs, and the prevalence of associated metabolic syndrome in HIV-infected patients with a previous diagnosis of lipodystrophy syndrome, according to the severity of fat accumulation and antiretroviral drug use.",Lipodystrophy|Metabolic Syndrome
NCT05143827,Glycemic Index of Pasta From Traditional and Current Wheat Varieties,"This randomized, cross-over study compares pasta produced with three different wheat varieties (Senatore Cappelli, Korasan, Claudio). Patients with type 2 diabetes with no pharmacological treatment will be randomized to three different sequences, and asked to eat a standard portion of pasta on three different occasions, four days apart. 3-hour post-prandial interstitial glucose profiles will be recorded using trans-cutaneous sensors.",Diabetes Type 2
NCT01462227,Effect of Naltrexone on Counterregulatory Mechanisms in Hypoglycemia,"Insulin treatment often causes the blood glucose levels to fall too low. The body usually responds to low blood glucose levels by releasing hormones which act against the insulin to help correct the low blood glucose levels. However, this hormone response can be altered in people with diabetes. Currently there are no therapeutic agents that can be used to improve the recovery from hypoglycemia (low blood sugar). Naltrexone is a tablet used to help people who are addicted to alcohol or morphine-based drugs to remain drug and alcohol-free but it can also affect the levels of the hormones which are released during hypoglycemia. The aim of this study is to determine whether naltrexone can be used to improve and accelerate the recovery from hypoglycemia in patients with type 1 diabetes.",Hypoglycemia
NCT01788527,Continuous Glucose Monitoring in Women With Type 1 Diabetes in Pregnancy Trial,The primary objective of the study is to determine if RT CGM (Real Time-Continuous Glucose Monitoring) can improve glycemic control in women with T1D who are pregnant or planning pregnancy.,Type 1 Diabetics Who Are Pregnant or Planning Pregnancy
NCT05149573,Investigation of PEMF Therapy for Female Patients With IC/BPS,"The purpose of this study is to gather information about the safety and effectiveness of the non-pharmacological (non-drug), non-invasive treatment known as low-frequency pulsed electromagnetic field (PEMF) therapy. The study team will distribute the PEMF device to female adults with Interstitial Cystitis/Bladder Pain Syndrome (IC/BPS) to measure its ability to decrease bladder and pelvic pain as well as other urinary symptoms associated with IC/BPS. There are two sequential Aims in this study and subjects will be recruited to participate in only one Aim. In both Aims, data will be collected at baseline/enrollment, 4-weeks after using PEMF therapy, and 8, 12, and 16 weeks post-enrollment.",Interstitial Cystitis|Chronic Interstitial Cystitis|Bladder Pain Syndrome
NCT01170273,Vitamin D in Vulnerable Adults (VIVA-VA),"Vitamin D insufficiency is a problem of growing concern, given its prevalence in older persons and the association of low vitamin D with multiple major health problems, including mobility and balance deterioration and falls, cardiovascular disease, diabetes, and certain cancers. Sedentary persons are particularly vulnerable for these health problems and generally not adherent to prescribed physical activity. This study will investigate if treatment with vitamin D will benefit physical performance in male veterans age 65 to 95.",Frail Elderly|Vitamin d Deficiency
NCT04945473,Gastric Recalibration After Endoscopic Sleeve Gastroplasty,"Endoscopic sleeve gastroplasty (ESG) is a technique used for bariatric surgery, with results comparable to conventional surgery, in order to treat morbid obesity. It has also less risks of complications, and it is not an irreversible technique. It can be repeated overtime, regarding the evolution of the gastroplasty. There is little data in the literature on the effectiveness of endoscopic ""revision"". This study will assess the benefits and costs of a revision during the follow-up endoscopy.",Morbid Obesity
NCT00609973,Ciprofloxacin for the Prevention of Postoperative Endoscopic Recurrence in Crohn's Disease,"Despite extensive medical treatment, surgical resection is required in approximately 70% of the patients at some time. However, recurrence of the disease after operation occurs in the majority of patients and is a serious limitation of surgical management. Therapeutic options to maintain postoperative clinical remission are urgently needed. Several drugs including mesalazine, antibiotics (metronidazole, ornidazole) and azathioprine or 6-mercaptopurine have been studied in the past. But the efficacy is very limited (mesalazine), overshadowed by intolerability during long-term therapy (metronidazole, ornidazole) or inconclusive (azathioprine or 6-mercaptopurine). Research demonstrating the absence of inflammation in patients with diverting ileostomy and the clinical benefit of a postoperative antibiotic therapy using metronidazole or ornidazole implicates a role of the resident bacterial flora in the postoperative relapse. Ciprofloxacin has a broad antibacterial spectrum. More interestingly it also suppresses E. coli strains, which can be found in high numbers in early and chronic ileal lesions of Crohn's disease patients Ciprofloxacin has demonstrated beneficial effects in the therapy of inflammatory bowel diseases, but the available data of the effectiveness of ciprofloxacin allow only a very limited judgement of the safety and tolerability of a 6 months therapy of ciprofloxacin. Therefore an exploratory multicenter prospective, placebo-controlled trial is planned to analyze the safety and tolerability of a 6 months therapy with ciprofloxacin compared to placebo in 40 patients (randomly assigned in a 1:1 ratio) undergoing ileocecal resection (or resection of parts of the colon). If this therapeutic regimen demonstrates tolerability, a second larger study improving the superiority of ciprofloxacin versus placebo can be initiated.",Crohn's Disease
