NCT Number,Study Title,Brief Summary,Conditions
NCT01697020,Bioequivalence of An Oral Mercaptopurine Suspension 100 Mg / 5 Ml Versus Tablet in Healthy Male Subjects Under Fasting Conditions,"The primary objective of this study is to determine whether the test product, mercaptopurine oral 100 mg/5 mL suspension, and the reference product, Purinethol® 50 mg tablets are bioequivalent. For this purpose the PK profile of 6-mercaptopurine (6-MP) will be compared after administration of a single dose of each of the two formulations, under fasting conditions. The secondary objective is to assess the safety and tolerability of the test product, mercaptopurine oral 100 mg/5 mL suspension.",Acute Lymphoblastic Leukemia
NCT01400074,Efficacy of Nilotinib Versus Imatinib in Ph+ CML in Early CP Who Have a Suboptimal Molecular Response to Imatinib,"In this study, the efficacy of nilotinib at 400 mg BID will be compared with imatinib at 400 mg BID in suboptimal molecular response patients. To determine study eligibility, suboptimal molecular response will be defined as patients who have achieved a complete cytogenetic response (CCyR) but have not achieved a MMR, after at least 18 months of treatment on first line imatinib therapy at a minimum dose of 400mg daily (Baccarani 2006).",Chronic Myeloid Leukemia
NCT06345365,MA+AZA Regimen for the Treatment of Newly Diagnosed Acute Myeloid Leukemia (AML),"Investigator proposed to apply the new dosage form of mitoxantrone hydrochloride liposomes to the clinical treatment of AML, while combining with cytarabine and azacitidine to form the MA+AZA treatment regimen(Mitoxantrone liposome +Ara-Cytarabine+Azacitidine), which would provide an optimal induction treatment regimen for patients with primary AML by comparing with the traditional chemotherapy regimen, DA+AZA (Daunorubicin+Ara-Cytarabine+Azacitidine).",Acute Myeloid Leukaemia
NCT00074074,Infliximab in Treating Patients With Myelodysplastic Syndrome,"RATIONALE: Monoclonal antibodies, such as infliximab, can locate tumor cells and either kill them or deliver tumor-killing substances to them without harming normal cells.PURPOSE: Randomized phase II trial to study the effectiveness of infliximab in treating patients who have myelodysplastic syndrome.",Myelodysplastic Syndromes
NCT02527174,A Study of Volasertib Plus Induction Chemotherapy for Acute Myeloid Leukemia,This is a Phase I clinical trial to determine the maximum tolerated dose (MTD) of the polo-like kinase-1 inhibitor volasertib which can be safely combined with idarubicin plus cytarabine induction chemotherapy for previously untreated patients with acute myeloid leukemia. (AML).,"Leukemia, Myeloid, Acute|Leukemia, Monocytic, Acute|Leukemia, Myelomonocytic, Acute|Leukemia, Erythroblastic, Acute|Leukemia, Megakaryoblastic, Acute"
NCT06121765,Metabolic Alternation and Clinicohematological Characteristic in Chronic Phase CML in Patient Treated With TKI,Metabolic alternation and clinicohematological characteristic in chronic phase CML in patient treated with TKI,"CML, Chronic Phase"
NCT00020865,Levofloxacin Compared With Cefepime in Treating Cancer Patients With Fever and Neutropenia,RATIONALE: Levofloxacin may be effective in reducing fever and controlling other symptoms of neutropenia in patients who are being treated for cancer. It is not yet known whether levofloxacin is more effective than cefepime in reducing fever and controlling symptoms of neutropenia.PURPOSE: Randomized phase III trial to compare the effectiveness of levofloxacin with that of cefepime in reducing fever and controlling symptoms of neutropenia in patients who are being treated for cancer.,"Fever, Sweats, and Hot Flashes|Infection|Leukemia|Lymphoma|Neutropenia|Unspecified Adult Solid Tumor, Protocol Specific"
NCT00378365,Acute Promyelocytic Leukemia 2006 (APL),"To assess the role of Arsenic trioxide and/or ATRA during consolidation course in APL. It is hoped that the investigational arms will further increase the event-free survival at 2 years, with reduced toxicity and without increasing the relapse rate by comparison with a classical anthracycline-AraC consolidation regimen.","Leukemia, Promyelocytic, Acute"
NCT04223765,Study of Kappa Chimeric Antigen Receptor (CAR) T Lymphocytes Co-Expressing the Kappa and CD28 CARs for Relapsed/Refractory Kappa+ Non-Hodgkin Lymphoma and Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma.,"This study will combine both T cells and antibodies in order to create a more effective treatment. The treatment tested in this study uses modified T-cells called Autologous T Lymphocyte Chimeric Antigen Receptor (ATLCAR) cells targeted against the kappa light chain antibody on cancer cells. For this study, the anti-kappa light chain antibody has been changed so instead of floating free in the blood, a part of it is now joined to the T cells. Only the part of the antibody that sticks to the lymphoma cells is attached to the T cells. When an antibody is joined to a T cell in this way, it is called a chimeric receptor. The kappa light chain chimeric (combination) receptor-activated T cells are called ATLCAR.κ.28 cells. These cells may be able to destroy lymphoma cancer cells. They do not, however, last very long in the body so their chances of fighting the cancer are unknown.Previous studies have shown that a new gene can be put into T cells to increase their ability to recognize and kill cancer cells. A gene is a unit of DNA. Genes make up the chemical structure carrying your genetic information that may determine human characteristics (i.e., eye color, height and sex). The new gene that is put in the T cells in this study makes an antibody called an anti-kappa light chain. This anti-kappa light chain antibody usually floats around in the blood. The antibody can detect and stick to cancer cells called lymphoma cells because they have a substance on the outside of the cells called kappa light chains.The purpose of this study is to determine whether receiving the ATLCAR.κ.28 cells is safe and tolerable and learn more about the side effects and how effective these cells are in fighting lymphoma. Initially, the study doctors will test different doses of the ATLCAR.κ.28, to see which dose is safer for use in lymphoma patients. Once a safe dose is identified, the study team will administer this dose to more patients, to learn about how these cells affect lymphoma cancer cells and identify other side effects they might have on the body.This is the first time ATLCAR.κ.28 cells are given to patients with lymphoma. The Food and Drug Administration (FDA), has not approved giving ATLCAR.κ.28 as treatment for lymphoma. This is the first step in determining whether giving ATLCAR.κ.28 to others with lymphoma in the future will help them.",Mantle Cell Lymphoma|Follicular Lymphoma|Splenic Marginal Zone Lymphoma|Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue|Nodal Marginal Zone Lymphoma|Indolent Non-hodgkin Lymphoma
NCT06651866,Dose-escalation Study of D-CMG Regimen for the Treatment of Elderly Newly Diagnosed AML Patients,"to observe the dose-limiting toxicity (DLT) of liposomal mitoxantrone hydrochloride injection combined with cytarabine and decitabine in the initial treatment of acute myeloid leukemia (AML), to explore the maximum tolerated dose (MTD) of the combined D-CMG regimen, and to evaluate its safety and efficacy",Acute Myeloid Leukemia
